dhss.alaska.gov, alaska.gov, Alaska, AK, @Alaska_DHSS, ,
alabamapublichealth.gov, alabama.gov, Alabama, AL, @ALPublicHealth , , 
americansamoa.gov/departments, , American Samoa, AS , , ,
azdhs.gov, az.gov, Arizona, AZ, @azdhs, , 
healthy.arkansas.gov, arkansas.gov, Arkansas, AR, @adhpio, , 
cdph.ca.gov, ca.gov, California, CA, @CAPublicHealth, , 
cdphe.colorado.gov, colorado.gov, Colorado, CO, @CDPHE, ,
ct.gov/dph, ct.gov, Connecticut, CT, @ctdph, , 
dhss.delaware.gov, delaware.gov, Delaware, DE, @Delaware_DHSS, , 
doh.dc.gov, dc.gov, District of Columbia, DC, @_DCHealth, doh@dc.gov, 202-442-5955
floridahealth.gov, myflorida.com, Florida, FL, @HealthyFla, , 850-245-4444
dph.georgia.gov, georgia.gov, Georgia, GA, @GaDPH, , 404-657-2700
dphss.guam.gov, guam.gov, Guam, GU, @GuamDPHSS, , 
health.hawaii.gov, hawaii.gov, Hawaii, HI, @HawaiiDOH, , 
healthandwelfare.idaho.gov, idaho.gov, Idaho, ID, @IDHW, , 
dph.illinois.gov, illinois.gov, Illinois, IL, @IDPH, , 
in.gov/health, in.gov, Indiana, IN, @StateHealthIN, , 
idph.iowa.gov, iowa.gov, Iowa, IA, @IAPublicHealth, , 
kdheks.gov, kansas.gov, Kansas, KS, @KDHE, , 
chfs.ky.gov, ky.gov, Kentucky, KY, @chfsky, , 
dhh.louisiana.gov, louisiana.gov, Louisiana, LA, @LADeptHealth, , 
maine.gov/dhhs, maine.gov, Maine, ME, @MEPublicHealth, , 
health.maryland.gov, maryland.gov, Maryland, MD, @MDHealthDept, , 
mass.gov/dph, mass.gov, Massachusetts, MA, @MassDPH, , 
michigan.gov/mdhhs, michigan.gov, Michigan, MI, @MichiganHHS, , 
health.state.mn.us, mn.gov, Minnesota, MN, @MNHealth, , 
msdh.state.ms.us, ms.gov, Mississippi, MS, @msdh, , 
health.mo.gov, mo.gov, Missouri, MO, @HealthyLivingMo, , 
dphhs.mt.gov, mt.gov, Montana, MT, @DPHHSMT, , 
dhhs.ne.gov, ne.gov, Nebraska, NE, @NEDHHS, , 
dhhs.nv.gov, nv.gov, Nevada, NV, @DhhsNevada, , 
dhhs.nh.gov, nh.gov, New Hampshire, NH, @nhdhhspio, , 
nj.gov/health, nj.gov, New Jersey, NJ, @NJDeptofHealth, , 
nmhealth.org, newmexico.gov, New Mexico, NM, @nmdoh, , 
health.ny.gov, ny.gov, New York, NY, @healthnygov, , 
ncdhhs.gov, nc.gov, North Carolina, NC, @ncdhhs, , 
ndhealth.gov, nd.gov, North Dakota, ND, @nddoh, , 
chcc.gov.mp, , Northern Mariana Islands, CM, @cnmichcc, , 
odh.ohio.gov, ohio.gov, Ohio, OH, @OHdeptofhealth, , 
ok.gov/health, ok.gov, Oklahoma, OK, @HealthyOklahoma, , 
public.health.oregon.gov, oregon.gov, Oregon, OR, @OHAOregon, , 
health.pa.gov, pa.gov, Pennsylvania, PA, @PAHealthDept, , 
salud.gov.pr, gov.pr, Puerto Rico, PR, @desaludpr, , 
health.ri.gov, ri.gov, Rhode Island, RI, @rihealth, , 
scdhec.gov, sc.gov, South Carolina, SC, @scdhec, , 
doh.sd.gov, sd.gov, South Dakota, SD, @SDDOH, , 
tn.gov/health.html, tn.gov, Tennessee, TN, @TNDeptofHealth, , 
dshs.state.tx.us, texas.gov, Texas, TX, @TexasDSHS, , 
doh.vi.gov, vi.gov, U.S. Virgin Islands, VI, @USVIDOH, , 
health.utah.gov, utah.gov, Utah, UT, @UtahDepOfHealth, , 
healthvermont.gov, vermont.gov, Vermont, VT, @HealthVermont, , 
vdh.virginia.gov, virginia.gov, Virginia, VA, @VDHgov, , 
doh.wa.gov, wa.gov, Washington, WA, @WADeptHealth, , 
dhhr.wv.gov, wv.gov, West Virginia, WV, @WV_DHHR, , 
dhs.wisconsin.gov, wisconsin.gov, Wisconsin, WI, @DHSWI, , 
health.wyo.gov, wyo.gov, Wyoming, WY, @health_wyoming, , 
