provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,last_order_date,last_date_delivered,total_courses,courses_available,courses_available_date,geocoded_address,npi
Southern Cancer Center,29653 ANCHOR CROSS BLVD,,DAPHNE,BALDWIN,AL,36526-9594,0310-7442-02,Evusheld,2021-12-30T00:00:00.000,2022-01-11T00:00:00.000,24,24.0,2022-01-11T00:00:00.000,POINT (-87.866268 30.657051),1942391784.0
UAB HOSPITAL,521 19TH ST SOUTH,GEN SVCS BLDG LOADING DOCK,BIRMINGHAM,JEFFERSON,AL,35249,0310-7442-02,Evusheld,2022-01-10T00:00:00.000,2021-12-28T00:00:00.000,144,120.0,2022-01-12T00:00:00.000,POINT (-86.802402 33.506798),
"V07 521 Birmingham, AL",700 S 19TH STREET,,BIRMINGHAM,JEFFERSON,AL,35233,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-86.800882 33.504615),
CHILDRENS OF ALABAMA,1600 7th Avenue South,,Birmingham,JEFFERSON,AL,35233,0310-7442-02,Evusheld,2021-12-21T00:00:00.000,2021-12-28T00:00:00.000,48,,,POINT (-86.805381 33.503222),
"Allergy, Asthma, and Imm of East AL","1925 East Glenn Ave, Suite 101",,Auburn,LEE,AL,36830,0310-7442-02,Evusheld,2022-01-04T00:00:00.000,,24,,,POINT (-85.439972 32.605612),
HUNTSVILLE HOSPITAL,101 SIVLEY RD SW,,HUNTSVILLE,MADISON,AL,35801-4421,0310-7442-02,Evusheld,2022-01-10T00:00:00.000,,24,,,POINT (-86.581547 34.721226),1447221056.0
WHITFIELD REGIONAL HOSPITAL,105 US HIGHWAY 80 E,,DEMOPOLIS,MARENGO,AL,36732-3605,0310-7442-02,Evusheld,2021-12-23T00:00:00.000,2021-12-30T00:00:00.000,24,,,POINT (-87.836677 32.503688),
MONTGOMERY CANCER CENTER,4145 CARMICHAEL RD,Attention Pharmacy,MONTGOMERY,MONTGOMERY,AL,36106-2803,0310-7442-02,Evusheld,2022-01-10T00:00:00.000,,240,,,POINT (-86.236889 32.35832),
"V07 619 Montgomery, AL",215 PERRY HILL RD,,MONTGOMERY,MONTGOMERY,AL,36109,0310-7442-02,Evusheld,2022-01-03T00:00:00.000,2022-01-11T00:00:00.000,24,,,POINT (-86.246393 32.378893),
COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,,SYLACAUGA,TALLADEGA,AL,35150-2913,0310-7442-02,Evusheld,2022-01-05T00:00:00.000,,24,,,POINT (-86.254598 33.164666),1972527265.0
RUSSELL MEDICAL CENTER,3316 Highway 280,,Alexander City,TALLAPOOSA,AL,35010,0310-7442-02,Evusheld,2022-01-10T00:00:00.000,2022-01-11T00:00:00.000,120,,,POINT (-85.968394 32.93103),1881849024.0
LAKELAND COMMUNITY HOSPITAL,42024 Hwy 195 East,,Haleyville,WINSTON,AL,35565,0310-7442-02,Evusheld,2022-01-05T00:00:00.000,,24,0.0,2022-01-04T00:00:00.000,POINT (-87.589857 34.241718),1275600967.0
ASHLEY COUNTY MED CENTER,1015 UNITY RD,,CROSSETT,ASHLEY,AR,71635,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-91.939011 33.137339),
Baxter Regional Medical Center,624 Hospital Drive,,Mountain Home,BAXTER,AR,72653,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-92.395905 36.343067),
NEA BAPTIST MEMORIAL HOSP PHARMACY,4800 E JOHNSON AVE,,JONESBORO,CRAIGHEAD,AR,72401,0310-7442-02,Evusheld,2021-12-29T00:00:00.000,2022-01-07T00:00:00.000,72,72.0,2022-01-12T00:00:00.000,POINT (-90.635674 35.864196),
ST. BERNARD MEDICAL CENTER,225 E WASHINGTON AVE,,JONESBORO,CRAIGHEAD,AR,72401,0310-7442-02,Evusheld,2021-12-29T00:00:00.000,2022-01-07T00:00:00.000,120,120.0,2022-01-12T00:00:00.000,POINT (-90.703102 35.838397),
WHITE RIVER MED CENTER,1710 HARRISON ST,,BATESVILLE,INDEPENDENCE,AR,72501,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-91.634368 35.769566),
DOCTORS ORDERS PHARMACY #2,2302 W 28TH AVE,Suite B,PINE BLUFF,JEFFERSON,AR,71603,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,0.0,2022-01-07T00:00:00.000,POINT (-92.026468 34.201824),
EXPRESS RX - PARIS,508 E WALNUT ST,,PARIS,LOGAN,AR,72855,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-93.72501 35.29204),
Baptist Health Medical Center - LR,9601 BAPTISIT HEALTH DR,,LITTLE ROCK,PULASKI,AR,72205,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-05T00:00:00.000,168,130.0,2022-01-12T00:00:00.000,POINT (-92.3813 34.745758),
CARTI CANCER CENTER,8901 CARTI WAY,,LITTLE ROCK,PULASKI,AR,72205,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-92.3678 34.743601),
CHI ST. VINCENT INFIRMARY,2 ST. VINCENT CIR,UNIT ATTN. PHARMACY,LITTLE ROCK,PULASKI,AR,72205,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-05T00:00:00.000,120,70.0,2022-01-10T00:00:00.000,POINT (-92.338251 34.750183),
UAMS,4301 W. Markham St. Slot 571,"Pharmacy Stores Stockroom, G1030",Little Rock,PULASKI,AR,72205,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2021-12-28T00:00:00.000,240,188.0,2022-01-12T00:00:00.000,POINT (-92.321037 34.751585),1477549756.0
FIVE RIVERS MED CENTER,2801 MEDICAL CENTER DR,,POCAHONTAS,RANDOLPH,AR,72455,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,0.0,2022-01-11T00:00:00.000,POINT (-90.996348 36.289922),
WEST SIDE PHARMACY,620 W South St,,Benton,SALINE,AR,72015,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-92.593674 34.563662),
MERCY COVID CLINIC FORT SMITH,7301 Rogers Ave,,Fort Smith,SEBASTIAN,AR,72903,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-94.353957 35.354072),
De Queen Health and Wellness,1357 W Collin Raye Drive,,De Queen,SEVIER,AR,71832,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,,,POINT (-94.357178 34.046177),
Advanced Care Hospital,1200 South Main Street,,Searcy,WHITE,AR,72143,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,24,0.0,2022-01-12T00:00:00.000,POINT (-91.732412 35.233805),
LBJ TROPICAL MEDICAL CENTER,FAGAALU VILLAGE,,PAGO PAGO,AMERICAN SAMOA,AS,96799,0310-7442-02,Evusheld,2022-01-12T00:00:00.000,,96,,,,
CHANDLER REGIONAL MEDICAL CENTER,1955 W. Frye Road,,Chandler,MARICOPA,AZ,85224,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2021-12-28T00:00:00.000,288,,,POINT (-111.873507 33.298691),
BANNER THUNDERBIRD MEDICAL CENTER,5555 W THUNDERBIRD RD,C/O FAMILY OUTPATIENT PHARMACY,GLENDALE,MARICOPA,AZ,85306,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,2022-01-11T00:00:00.000,408,,,POINT (-112.179439 33.610734),
SOUTHWELLNESS MEDICAL,10599 N TATUM BLVD,SUITE F151,PARADISE VALLEY,MARICOPA,AZ,85253,0310-7442-02,Evusheld,2021-12-23T00:00:00.000,2021-12-28T00:00:00.000,120,0.0,2021-12-23T00:00:00.000,POINT (-111.977795 33.582143),
"V22 644 Phoenix, AZ",650 E INDIAN SCHOOL ROAD,Inaptient Pharmacy 119A,PHOENIX,MARICOPA,AZ,85012,0310-7442-02,Evusheld,2022-01-03T00:00:00.000,2022-01-11T00:00:00.000,24,,,POINT (-112.066252 33.494747),
ST. JOSEPHS HOSPITAL AND MEDICAL C,350 W Thomas Rd.,,Phoenix,MARICOPA,AZ,85013,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,288,,,POINT (-112.079431 33.480298),
MAYO CLINIC PHOENIX,13400 E Shea Blvd,ATTN: PHARMACY SUITE 1-136E,SCOTTSDALE,MARICOPA,AZ,85259,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,288,,,POINT (-111.790095 33.582481),1154392231.0
Osborn Infusion,7400 E Osborn Rd,,Scottsdale,MARICOPA,AZ,85251,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,288,120.0,2022-01-03T00:00:00.000,POINT (-111.922944 33.48764),
KINGMAN REGIONAL MEDICAL CENTER,3269 N STOCKTON HILL RD,INPATIENT HOSPITAL,KINGMAN,MOHAVE,AZ,86409,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,288,120.0,2022-01-04T00:00:00.000,POINT (-114.035814 35.219919),
SPECTRUM PHARMACY,6250 E. GRANT RD.,Suite #388,TUCSON,PIMA,AZ,85712,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,168,0.0,2022-01-04T00:00:00.000,POINT (-110.859919 32.250572),1558415992.0
"V22 678 Tucson, AZ",3601 S. 6TH AVENUE,"B57, Basement, Inpatient Pharmacy",TUCSON,PIMA,AZ,85723,0310-7442-02,Evusheld,2022-01-03T00:00:00.000,2022-01-11T00:00:00.000,24,,,POINT (-110.96828 32.181307),
YUMA REGIONAL MED CENTER-INPATIENT,2400 S AVE A,C/O INPATIENT PHARMACY,YUMA,YUMA,AZ,85364,0310-7442-02,Evusheld,2022-01-06T00:00:00.000,,168,0.0,2022-01-07T00:00:00.000,POINT (-114.633238 32.683899),1194706655.0
ALTA BATES SUMMIT MEDICAL CENTER,2450 ASHBY AVENUE,,BERKELEY,ALAMEDA,CA,94705,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,,24,,,POINT (-122.257994 37.856408),1639523004.0
KAISER PERM FREMONT MEDICAL CENTER,39400 PASEO PADRE PKWY,Niles Pharmacy,FREMONT,ALAMEDA,CA,94538,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,,24,,,POINT (-121.975675 37.550864),
Highland Hospital,1411 East 31st Street,,Oakland,ALAMEDA,CA,94602,0310-7442-02,Evusheld,2022-01-02T00:00:00.000,2022-01-07T00:00:00.000,336,140.0,2022-01-12T00:00:00.000,POINT (-122.231125 37.79922),
KAISER FOUNDATION HOSPITAL - OAKLAN,275 W.MacArthur Blvd,"Inpatient pharmacy 5th FL,Alice Hwe",Oakland,ALAMEDA,CA,94611,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,,72,72.0,2022-01-11T00:00:00.000,POINT (-122.257637 37.823888),
UCSF BENIOFF CHILDRENS HOSPITAL OA,747 52nd Street,,Oakland,ALAMEDA,CA,94609,0310-7442-02,Evusheld,2021-12-17T00:00:00.000,2021-12-21T00:00:00.000,24,24.0,2022-01-12T00:00:00.000,POINT (-122.267901 37.837309),1588833347.0
Stanford Health Care Valleycare,5555 West Las Positas Blvd,,Pleasanton,ALAMEDA,CA,94588,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,,24,24.0,2022-01-11T00:00:00.000,POINT (-121.880027 37.692133),
ENLOE MEDICAL CENTER,1531 Esplanade,,Chico,BUTTE,CA,95926,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,,240,166.0,2022-01-12T00:00:00.000,POINT (-121.849291 39.742509),
Contra Costa Reg Med Center,2500 Alhambra Ave (CCRMC hospital),Inpatient Pharmacy,Martinez,CONTRA COSTA,CA,94553,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,2022-01-07T00:00:00.000,96,69.0,2022-01-12T00:00:00.000,POINT (-122.130891 38.006467),
INFECTIOUS DISEASE DOCTORS MEDICAL,365 Lennon Lane Ste 200,,Walnut Creek,CONTRA COSTA,CA,94598,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,2021-12-28T00:00:00.000,264,,,POINT (-122.030096 37.927866),1134145055.0
SUTTER COAST HOSPITAL,800 E WASHINGTON BLVD,INPATIENT PHARMACY,CRESCENT CITY,DEL NORTE,CA,95531,0310-7442-02,Evusheld,2022-01-05T00:00:00.000,,24,,,POINT (-124.194244 41.772699),1457367062.0
DEPARTMENT OF STATE HOSPITALS - COA,24511 W JAYNE AVE,,COALINGA,FRESNO,CA,93210,0310-7442-02,Evusheld,2022-01-10T00:00:00.000,,24,,,,
COMMUNITY REGIONAL MEDICAL CENTER,2823 Fresno Street,PHARMACY DEPT,Fresno,FRESNO,CA,93715,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,,144,0.0,2022-01-12T00:00:00.000,POINT (-119.782839 36.742712),
SAINT AGNES MEDICAL CENTER,1303 East Herndon Ave,,Fresno,FRESNO,CA,93720,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,,120,70.0,2022-01-12T00:00:00.000,POINT (-119.765891 36.837102),
ST. JOSEPH HOSPITAL,2700 DOLBEER ST PHARMACY SERVICES,,EUREKA,HUMBOLDT,CA,95501,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,2021-12-21T00:00:00.000,72,,,POINT (-124.142039 40.783103),
PIONEERS MEMORIAL HEALTHCARE DISTRI,207 W Legion Rd,,Brawley,IMPERIAL,CA,92227,0310-7442-02,Evusheld,2022-01-07T00:00:00.000,,48,24.0,2022-01-12T00:00:00.000,POINT (-115.554051 32.95995),1073519443.0
